Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2021-08-08;32,00;34,29;51,43;0,00;0,00;27,00;0,00;0,00;0,00;0,00;178,67;128,00;0,00;0,00;0,00;154,67;40,00;0,00;0,00;0,00;19,69
2021-08-15;23,00;43,70;0,00;0,00;52,90;0,00;0,00;0,00;0,00;40,89;117,56;58,78;35,78;0,00;0,00;109,89;61,33;0,00;90,72;0,00;46,00
2021-08-22;37,00;60,55;33,64;0,00;0,00;61,00;0,00;23,00;0,00;49,33;148,00;91,27;0,00;42,29;0,00;121,57;29,07;54,27;61,67;0,00;48,10
2021-08-29;42,00;0,00;31,78;17,03;0,00;25,00;51,00;0,00;24,00;0,00;148,24;96,35;0,00;0,00;0,00;118,13;44,63;0,00;18,53;0,00;18,53
2021-09-05;0,00;39,00;20,00;0,00;81,00;31,00;0,00;0,00;100,00;17,00;74,00;42,00;0,00;0,00;0,00;38,00;0,00;37,00;31,00;55,00;0,00
2021-09-12;25,00;21,59;17,05;0,00;21,59;36,00;0,00;0,00;0,00;22,50;140,00;77,50;22,50;0,00;0,00;58,33;0,00;0,00;46,25;0,00;23,75
2021-09-19;0,00;30,00;0,00;0,00;34,00;0,00;0,00;0,00;0,00;0,00;54,00;29,00;0,00;13,00;0,00;26,00;15,00;0,00;32,00;0,00;19,00
2021-09-26;19,00;45,82;17,88;0,00;0,00;30,00;0,00;0,00;0,00;0,00;100,43;116,71;0,00;0,00;0,00;78,71;0,00;0,00;29,69;27,31;0,00
2021-10-03;23,00;96,60;0,00;40,25;26,45;0,00;0,00;0,00;0,00;0,00;140,56;79,22;0,00;0,00;0,00;0,00;0,00;0,00;77,47;30,26;0,00
2021-10-10;20,00;57,65;0,00;0,00;56,47;26,00;0,00;0,00;20,00;0,00;180,00;120,00;0,00;20,00;0,00;71,43;60,00;0,00;37,50;47,50;0,00
2021-10-17;51,00;0,00;15,87;0,00;61,20;0,00;16,00;0,00;0,00;0,00;130,05;81,60;0,00;0,00;0,00;37,58;29,53;0,00;104,43;0,00;0,00
2021-10-24;22,00;40,53;0,00;0,00;53,26;0,00;0,00;15,00;0,00;0,00;140,25;101,75;16,50;0,00;0,00;121,00;27,50;0,00;25,67;0,00;0,00
2021-10-31;21,00;0,00;19,83;0,00;0,00;0,00;0,00;0,00;0,00;18,38;94,50;78,75;0,00;0,00;0,00;0,00;70,88;0,00;0,00;48,18;33,35
2021-11-07;21,00;51,95;22,11;27,63;0,00;38,00;18,00;0,00;38,00;31,50;76,13;81,38;0,00;0,00;0,00;49,88;15,75;32,12;34,59;0,00;0,00
2021-11-14;0,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;49,00;20,00;0,00;0,00;0,00;17,00;6,00;0,00;29,00;0,00;15,00
2021-11-21;35,00;18,67;24,50;0,00;0,00;0,00;0,00;39,00;0,00;0,00;65,00;25,00;0,00;0,00;0,00;48,46;18,85;0,00;0,00;0,00;0,00
