Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2021-12-26;37,00;40,00;0,00;0,00;42,00;40,96;21,14;0,00;0,00;0,00;140,07;37,00;0,00;0,00;0,00;62,44;0,00;38,54;61,67;154,17;63,21
2022-01-02;0,00;42,00;0,00;28,00;0,00;0,00;13,00;0,00;17,00;0,00;11,00;13,00;0,00;0,00;0,00;25,00;0,00;0,00;35,00;50,00;0,00
2022-01-09;0,00;0,00;33,00;27,00;0,00;48,00;23,00;21,00;0,00;0,00;18,00;43,00;22,00;0,00;0,00;12,00;0,00;0,00;57,00;0,00;0,00
2022-01-16;17,00;0,00;19,00;0,00;0,00;83,69;41,85;0,00;0,00;21,86;65,57;70,43;14,57;0,00;0,00;60,71;0,00;0,00;21,64;0,00;0,00
2022-01-23;17,00;0,00;14,00;0,00;0,00;40,54;14,38;0,00;0,00;17,00;34,00;70,83;28,33;0,00;14,57;58,29;0,00;0,00;27,82;0,00;0,00
2022-01-30;0,00;0,00;0,00;0,00;0,00;40,00;10,00;14,00;0,00;0,00;32,00;16,00;0,00;0,00;0,00;9,00;0,00;0,00;35,00;0,00;29,00
2022-02-06;0,00;0,00;0,00;46,00;0,00;43,00;23,00;0,00;0,00;0,00;9,00;20,00;0,00;0,00;0,00;25,00;0,00;27,00;18,00;0,00;0,00
2022-02-13;32,00;0,00;21,00;27,00;0,00;53,33;30,67;0,00;14,67;0,00;45,33;64,00;21,33;13,71;0,00;34,29;0,00;0,00;48,76;13,71;0,00
2022-02-20;0,00;0,00;0,00;10,00;0,00;34,00;0,00;0,00;17,00;0,00;22,00;33,00;0,00;0,00;0,00;24,00;0,00;9,00;13,00;14,00;0,00
2022-02-27;0,00;13,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;16,00;37,00;0,00;0,00;0,00;20,00;7,00;0,00;10,00;0,00;0,00
2022-03-06;0,00;0,00;0,00;18,00;0,00;24,00;0,00;0,00;14,00;0,00;20,00;14,00;0,00;0,00;0,00;21,00;5,00;0,00;62,00;17,00;0,00
2022-03-13;24,00;27,00;0,00;12,00;15,00;40,00;26,67;0,00;0,00;0,00;32,00;104,00;0,00;0,00;0,00;67,20;0,00;22,40;27,20;19,20;19,20
2022-03-20;0,00;22,00;0,00;13,00;28,00;37,00;0,00;0,00;0,00;4,00;31,00;34,00;0,00;0,00;0,00;30,00;0,00;0,00;30,00;9,00;0,00
2022-03-27;0,00;48,00;21,00;0,00;10,00;12,00;0,00;0,00;13,00;9,00;19,00;48,00;0,00;0,00;0,00;41,00;6,00;0,00;13,00;19,00;0,00
2022-04-03;28,00;24,00;12,00;24,00;0,00;22,67;24,00;0,00;18,67;0,00;100,80;112,00;0,00;0,00;0,00;81,67;0,00;10,89;24,89;37,33;0,00
2022-04-10;34,00;39,00;0,00;0,00;0,00;92,85;27,46;0,00;0,00;0,00;54,92;73,23;20,92;0,00;0,00;111,71;0,00;0,00;37,09;0,00;26,27
2022-04-17;20,00;21,00;0,00;17,00;0,00;40,00;33,33;0,00;0,00;0,00;85,71;62,86;20,00;17,50;0,00;37,50;0,00;0,00;43,08;0,00;0,00
2022-04-24;16,00;12,00;43,00;34,00;0,00;68,00;14,67;0,00;0,00;21,33;80,00;72,00;0,00;0,00;0,00;75,43;20,57;16,00;10,18;0,00;0,00
2022-05-01;12,00;41,00;11,00;0,00;0,00;42,67;21,33;0,00;12,00;15,00;87,00;96,00;0,00;0,00;0,00;81,60;0,00;24,00;30,00;12,00;0,00
2022-05-08;22,00;0,00;0,00;0,00;0,00;44,00;36,24;0,00;29,76;38,50;60,50;101,75;0,00;26,40;0,00;41,80;0,00;35,20;0,00;22,00;13,20
2022-05-15;0,00;52,00;33,00;0,00;30,00;51,00;0,00;11,00;18,00;0,00;32,00;26,00;6,00;0,00;11,00;49,00;0,00;11,00;29,00;10,00;18,00
