Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2021-08-22;61,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;11,00;0,00;12,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,12;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2021-08-29;41,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00
2021-09-05;31,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;6,20;7,23;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-09-12;29,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;6,00
2021-09-19;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;8,00;0,00;0,00;6,00;0,00;12,00;0,00;8,00;12,00;4,00;0,00
2021-09-26;38,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;6,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;7,00;10,00;0,00;0,00;0,00;0,00;4,00;6,00
2021-10-03;37,00;0,00;11,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,19;0,00;0,00;0,00;6,00;3,00;0,00;6,00
2021-10-10;35,00;7,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;10,00;5,00;0,00;0,00;0,00;0,00;0,00;7,00;5,00;0,00;0,00;3,00;0,00;0,00;0,00;7,00;8,00
2021-10-17;49,00;6,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;4,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;4,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00
2021-10-24;30,00;3,00;0,00;0,00;0,00;0,00;19,00;0,00;16,00;6,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
