Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2022-02-06;19,00;5,00;4,00;4,00;5,00;0,00;0,00;10,00;0,00;0,00;0,00;3,00;10,00;2,00;0,00;2,00;0,00;7,00;0,00;0,00;5,00
2022-02-13;29,00;6,00;4,00;6,00;5,00;4,00;2,00;8,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-02-20;31,00;4,00;0,00;3,00;3,00;0,00;5,00;4,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2022-02-27;32,00;3,00;6,00;0,00;4,00;0,00;0,00;7,00;0,00;0,00;0,00;3,00;0,00;2,00;3,00;2,00;2,00;0,00;0,00;0,00;0,00
2022-03-06;30,00;6,00;0,00;6,00;6,00;5,00;0,00;5,00;0,00;2,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;8,00
2022-03-13;31,00;12,00;5,00;6,00;4,00;0,00;8,00;2,00;0,00;0,00;5,00;4,00;0,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;3,00
2022-03-20;31,00;7,00;0,00;0,00;7,00;0,00;5,00;2,00;0,00;3,00;2,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-03-27;29,00;8,00;5,00;0,00;8,00;6,00;0,00;11,00;0,00;3,00;0,00;3,00;3,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2022-04-03;47,00;16,00;4,00;5,00;14,00;0,00;10,00;8,00;0,00;0,00;0,00;5,00;3,00;3,00;3,00;6,00;7,00;0,00;0,00;0,00;0,00
2022-04-10;70,00;13,00;0,00;10,00;17,00;9,00;12,00;8,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;3,00;6,00;3,00;0,00;13,00;0,00
2022-04-17;50,00;9,00;3,00;7,00;8,00;0,00;7,00;14,00;0,00;3,00;0,00;3,00;3,00;4,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00
2022-04-24;44,00;9,00;4,00;12,00;7,00;2,00;8,00;9,00;0,00;0,00;0,00;3,00;0,00;6,00;3,00;0,00;4,00;4,00;0,00;0,00;0,00
2022-05-01;39,00;18,00;2,00;6,00;5,00;4,00;6,00;4,00;0,00;2,00;7,00;5,00;0,00;5,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2022-05-08;37,00;0,00;0,00;3,00;5,00;10,00;9,00;7,00;6,00;3,00;0,00;3,00;2,00;8,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00
2022-05-15;43,00;10,00;12,00;0,00;8,00;4,00;23,00;13,00;0,00;8,00;0,00;11,00;4,00;5,00;3,00;0,00;0,00;0,00;0,00;0,00;5,00
2022-05-22;62,00;9,00;4,00;5,00;10,00;8,00;13,00;5,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2022-05-29;51,00;17,00;7,00;6,00;10,00;5,00;9,00;9,00;0,00;3,00;0,00;7,00;2,00;0,00;6,00;0,00;5,00;0,00;0,00;0,00;0,00
2022-06-05;39,00;21,00;6,00;8,00;8,00;9,00;4,00;12,00;0,00;2,00;0,00;9,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00
2022-06-12;62,00;24,00;14,00;0,00;19,00;4,00;11,00;13,00;0,00;3,00;0,00;9,00;7,00;2,00;0,00;0,00;3,00;6,00;6,00;0,00;0,00
2022-06-19;49,00;22,00;0,00;7,00;14,00;5,00;11,00;10,00;4,00;0,00;4,00;10,00;2,00;4,00;2,00;3,00;0,00;0,00;0,00;0,00;3,00
2022-06-26;54,00;27,00;9,00;2,00;16,00;4,00;13,00;9,00;0,00;0,00;0,00;9,00;9,00;3,00;2,00;5,00;6,00;0,00;0,00;0,00;0,00
2022-07-03;42,00;23,00;9,00;7,00;15,00;9,00;9,00;11,00;0,00;0,00;9,00;10,00;6,00;3,00;0,00;5,00;0,00;13,00;0,00;0,00;9,00
2022-07-10;62,00;38,00;9,00;14,00;26,00;9,00;7,00;20,00;0,00;0,00;4,00;13,00;5,00;0,00;0,00;0,00;2,00;0,00;0,00;3,00;0,00
2022-07-17;69,00;32,00;8,00;14,00;26,00;11,00;11,00;18,00;0,00;0,00;6,00;0,00;7,00;8,00;0,00;0,00;7,00;4,00;4,00;0,00;3,00
2022-07-24;45,00;24,00;10,00;9,00;17,00;12,00;12,00;13,00;0,00;3,00;0,00;12,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;8,00
2022-07-31;66,00;23,00;6,00;11,00;16,00;4,00;10,00;10,00;0,00;0,00;0,00;4,00;6,00;5,00;0,00;4,00;0,00;5,00;0,00;0,00;0,00
2022-08-07;38,00;19,00;7,00;16,00;17,00;3,00;11,00;6,00;0,00;7,00;0,00;6,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00
2022-08-14;40,00;18,00;7,00;6,00;18,00;8,00;6,00;7,00;0,00;0,00;0,00;6,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00
2022-08-21;42,00;11,00;0,00;4,00;11,00;6,00;12,00;10,00;0,00;0,00;5,00;8,00;0,00;4,00;3,00;3,00;4,00;0,00;0,00;5,00;0,00
2022-08-28;29,00;16,00;4,00;10,00;11,00;4,00;5,00;6,00;0,00;2,00;0,00;7,00;0,00;0,00;3,00;0,00;0,00;3,00;2,00;2,00;0,00
2022-09-04;48,00;12,00;2,00;6,00;0,00;5,00;7,00;11,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;2,00;0,00;0,00;5,00;0,00;5,00
2022-09-11;46,00;8,00;0,00;9,00;5,00;7,00;10,00;7,00;0,00;0,00;2,00;11,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
