Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2022-07-10;0,00;0,00;0,00;54,00;0,00;17,00;0,00;0,00;0,00;0,00;40,00;31,00;0,00;29,00;0,00;49,00;0,00;0,00;0,00;22,00;0,00
2022-07-17;0,00;19,00;13,00;35,00;0,00;27,00;0,00;0,00;0,00;0,00;30,00;37,00;0,00;0,00;16,00;22,00;19,00;23,00;0,00;0,00;0,00
2022-07-24;0,00;45,00;0,00;36,00;0,00;23,00;0,00;77,00;0,00;0,00;61,00;59,00;0,00;0,00;0,00;48,00;0,00;0,00;0,00;34,00;0,00
2022-07-31;21,00;21,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;0,00;105,00;76,36;17,18;0,00;0,00;0,00;0,00;84,00;53,00;0,00;0,00
2022-08-07;0,00;16,00;0,00;39,00;13,00;35,00;0,00;0,00;0,00;0,00;36,00;0,00;0,00;0,00;0,00;43,00;0,00;0,00;0,00;0,00;20,00
2022-08-14;37,00;18,50;25,90;0,00;0,00;18,00;0,00;0,00;0,00;0,00;44,40;27,75;0,00;0,00;0,00;34,89;0,00;0,00;0,00;0,00;0,00
2022-08-21;0,00;12,00;45,00;31,00;24,00;0,00;0,00;0,00;0,00;0,00;42,00;15,00;0,00;0,00;0,00;18,00;0,00;0,00;24,00;13,00;0,00
2022-08-28;0,00;12,00;0,00;14,00;0,00;18,00;0,00;0,00;0,00;0,00;14,00;28,00;0,00;0,00;24,00;0,00;28,00;0,00;0,00;0,00;41,00
2022-09-04;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,80;36,00;0,00;0,00;0,00;40,24;0,00;0,00;48,00;0,00;0,00
2022-09-11;0,00;16,00;0,00;0,00;0,00;0,00;34,00;0,00;0,00;0,00;36,00;20,00;0,00;27,00;0,00;0,00;0,00;0,00;45,00;0,00;20,00
2022-09-18;27,00;0,00;13,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;43,20;34,20;0,00;13,50;0,00;0,00;0,00;0,00;24,00;51,00;29,00
